title,date,year,link,media,reporter
AI-powered sex robots will eliminate need for human partner in bed: Ex-Google exec,"Sep 17, 2023",2023,https://news.google.com/read/CBMiTkFVX3lxTE1QUEJhd2p0RkdOTlI5a29IS2lnM29lNXg2N01XRjJJQWpyb195d3dpYzI3Q0JUR3U1TmRxRGs3eExtallqOVhick55U1JsQQ?hl=en-US&gl=US&ceid=US%3Aen,imdb,
"No, a bionic bordello isn’t coming to rural Georgia","May 1, 2023",2023,https://news.google.com/read/CBMiqgFBVV95cUxNX2diM2V3UFVveUpDQWp2WUkwa1JZb2dOY2xwdG9Ic2FJMXlLenBUTGU1X3ZaRmQ5OFRQM3Q4ZTN6S05UTmE3cTUyN2NoQ19tV3Y0RTNLVDl3WGZVVWtHLUlKSTI5SklwNkt1MzdMeW9OTEprN3FQMUR3ZTRpemVZQ3hzalhUd21QVzJhWnhaZVZ4SkdPUTRVVG04VTRQUVl6U1dScjFrX3RiQQ?hl=en-US&gl=US&ceid=US%3Aen,The Atlanta Journal Constitution,By Greg Bluestein
Police: 2nd ‘childlike sex doll’ found at home of suspect arrested for downloading images of children,"Jun 30, 2023",2023,https://news.google.com/read/CBMiiwJBVV95cUxON1VmVGQ5MUo1VFdpNFVBMHFTdjFVaGRLVE5kSU5PWTVaYXhsVWZFbUIxR0N2bzMwaUxGNFBjX0tvYmhwdVNwZjRDRllFVVVvdmp6SGxIMDRSZUxXSHhDZHlwS1p6NjhLbVNkNi1zUmxsZGdvSDJYSWdhcTluM3BVeDRHaWtwMDI4bjVVQkU0Y2hwMjJWanJRSEZwVkVIa0FwQ1BKYklqTmQ1VTEycDBmU0k0MVBwLUMzbFUySTdRYUlORnRuMTNaMHFpbjNJNnoyZlAzVTBZSloteVZJOEhLb2ltMTd4dkw5SlZfZERsNDdkUzRHcXRBU1JGMHpHM1A3UEZYemVSNmVlSlE?hl=en-US&gl=US&ceid=US%3Aen,St. George News,By Cody Ann Blowers
"People are having sex in self-driving cars, apparently","Aug 12, 2023",2023,https://news.google.com/read/CBMihwFBVV95cUxOMTNJTkQwbW5OamRJaHNqM3dLYmtWaEdNY0lNbWtHcmxiZ1M1YjE3Z3A2N0FFUklfOEpUNjJSU3ZsQW1oVW0wdlVmb0d4ZHMtYUl3blBxekhtUlk5V1QzNVZHN0pUNGIyalpsSV9FSU0yR2FRMFhkSkphdjZQYTFfWWZJNVNUME0?hl=en-US&gl=US&ceid=US%3Aen,Mashable,By Anna Iovine
One man's sex doll museum pushing limits in Japan's subculture scene,"Sep 2, 2023",2023,https://news.google.com/read/CBMi0AFBVV95cUxNaTdhZ1ZfRkoxc21DSm1vUm80T2JCWEVyenB4N3lJOWpJOWFOYmozVnlXc0VaODIwd2k0aUVYLS1US2VOdzZSV3F2a01qMXNDa2ZZdXJIV2tKRXJEbzlua3htWWtIQ3l0QlBiNWFwM1c5WGo0eW0tOUc2QUwyVEFUMVFacGFUY0VleDBPdTByak5oYUJOdFFaUXQ4ZVJvd20xc0R2aWtoemRzVlo1eC1ra0Z6cS16T2pma25WeGZpa3ZMQUpIeWs3bWg4Y0VpOWd2?hl=en-US&gl=US&ceid=US%3Aen,Kyodo News Plus,By Donican Lam
Nebraska funeral worker fired after using sex doll of dead man he was tasked to collect,"Oct 15, 2023",2023,https://news.google.com/read/CBMilwFBVV95cUxOQldpQzVzeVRSODJoSTEyNzVzdDU3enl2blRqM014c1IwMTQ0dE1pMl9BbnJJNFBacHlVNjRvYWpUV1JFY21aOUcwM194X01kYm00RFFwXzBrb0xpX3R6eVpoZWU5SkpOV0VkS3p4c20tbFo4RTlLMS05c3o2MWFoSjlmSHVnd1dYUDA4N2Z0TTV6RlI5dDYw?hl=en-US&gl=US&ceid=US%3Aen,New York Post,By Katherine Donlevy
Are We Heading Toward a World Without Human Sex?,"Jul 22, 2023",2023,https://news.google.com/read/CBMibkFVX3lxTE5tTUJaMWtPNjh5c0xud2JReVZEN2Z0WTd4QVlvVmV2YzVZeWxSUmFENHpmR3BCUlhadGthMmxaNjZpX3I0Y1Y0SXJNeEZLVGNGSkdTY1hLb0NMWVc4S0tKQW1leE1jdGFJMktFRlRR?hl=en-US&gl=US&ceid=US%3Aen,MIXED Reality News,By Josef Erl
"In Japan, humanoid robots could soon become part of the family","Jan 29, 2023",2023,https://news.google.com/read/CBMiaEFVX3lxTFAybzNvQnYzMEJfLWxuY1B4T2MycWZwejlQVkIweFd4M2ZSeFN0SnBvU29hY3Rob29vZ0cyNXpZeWVhUXdBbWhGOXFQU0xFVUxpR01XQ08xVkZ5ZzFuQlIwcXJnc0RvWUUy0gFwQVVfeXFMT0hsUWJONTZhWWZVS0twRm5taU9XX21Ha1kwZ0JhRGlyeUozTlZQanItaWVWUE5OWlg1NDFsXzQyM191VlhGeVRTVEhYV25KN0ZiY1huTmZXSTVpai1vdFAtZE9LYUhhazdJSV9hT3poMg?hl=en-US&gl=US&ceid=US%3Aen,Freethink,By Orly Lobel
"‘AI exists, have to embrace it’: ‘World’s first’ immersive sex brothel","Oct 23, 2023",2023,https://news.google.com/read/CBMihwFBVV95cUxQYk81VWFpcVgzZWV1QXRPdEhFLUdQRlZkQWJ5WUV0MnlhckFJYkpBRERGdXpheHRfLTZnWUVfYkpDbklNQ0NTdlBZcnBwVnR0YVE3cDFTWHBMQjAtMTZSbXlSY0tFeXNsOE1pNEJTS01iV2hyaE41em5Wc1pmRFlScEd3YXpuZDg?hl=en-US&gl=US&ceid=US%3Aen,Interesting Engineering,By Sejal Sharma
Former Google Exec Claims AI Sex Robots Will Feel 'Alive',"Jul 19, 2023",2023,https://news.google.com/read/CBMikAFBVV95cUxQdE1YNTVGVGY0WFEtakE2aWlOMk5QTkYwUThxX2hzTHY5Tm5reHVrbzJYa0ptdUpZbDNLdHhVNG9rOU1aVDRzeG9hSy1uMkNsUTRhaGk1V1NqS1BWMTZfTmY4bGFyUURZVFJWdHJ4X0NWOFhDbEdxN21DclFYbzVlVjhXQUxwQ0pZWlg4U09wOXU?hl=en-US&gl=US&ceid=US%3Aen,Outkick,
