ID,title,media,date,datetime,desc,link,img
159,Hot tech: U of M prof makes the case for sexbots,CBC,1 months ago,2024-08-16 23:19:41.889107,"University of Manitoba prof Neil McArthur co-edited ""Robot Sex: Social and Ethical Implications,"" a book that discusses the future of simulated intimacy.",https://www.cbc.ca/news/canada/manitoba/university-manitoba-sex-robots-1.4422101&ved=2ahUKEwi0s-P8j8mIAxXbMtAFHUlRCb04lgEQxfQBegQICBAC&usg=AOvVaw2WrvofX2u_LgLiHcbKZ9gL,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
160,Exclusive: Employee defends 'sex robot brothel' after pushback from City of Houston,KHOU,1 months ago,2024-08-16 23:19:42.217904,The City of Houston ordered work stopped at the Galleria-area office building on Richmond Avenue where the business was expected to open by the end of the...,https://www.khou.com/article/news/local/exclusive-employee-defends-sex-robot-brothel-after-pushback-from-city-of-houston/285-599236331&ved=2ahUKEwiDvP78j8mIAxUY5MkDHd7CAf84oAEQxfQBegQIARAC&usg=AOvVaw2DZBntFX7YXFdeI_bbTnW4,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
161,First sex robot brothel to open in US: Outrage in Houston as ‘no law can stop it’,Daily Express,1 months ago,2024-08-16 23:19:42.219639,"A SEX robot brothel is “not wanted in Houston”, the Texas city's mayor Sylvester Turner has said as he vowed to do everything in his power to thwart plans...",https://www.express.co.uk/news/world/1024027/sex-robot-brothel-houston-texas-mayor-protests-petition&ved=2ahUKEwiDvP78j8mIAxUY5MkDHd7CAf84oAEQxfQBegQICRAC&usg=AOvVaw2rVty93tvXuYvw9UDvXT5i,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
162,Meet The Activist Fighting Sex Robots,Forbes,1 months ago,2024-08-16 23:19:42.221308,"In this series on sex robots, a sex robot creator, an activist fighting sex robots and a sex robot beta-tester, share their views.",https://www.forbes.com/sites/andreamorris/2018/09/26/meet-the-activist-fighting-sex-robots/&ved=2ahUKEwiDvP78j8mIAxUY5MkDHd7CAf84oAEQxfQBegQIBBAC&usg=AOvVaw0uiq6bCCH6s5asyzAgqc0Q,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
163,Efforts to stop sex robot brothel from opening in Houston,FOX 26 Houston,1 months ago,2024-08-16 23:19:42.222986,It seems a business that rents and sells sex robots has plans to move to Houston in the Galleria area and open in just a few days.,https://www.fox26houston.com/news/efforts-to-stop-sex-robot-brothel-from-opening-in-houston&ved=2ahUKEwiDvP78j8mIAxUY5MkDHd7CAf84oAEQxfQBegQIAhAC&usg=AOvVaw2TXMREfOtfSxopCq0tSlxV,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
164,SEX ROBOT BATTLE: Mayor Sylvester Turner considering regulating robot brothel slated for Houston,ABC13 Houston,1 months ago,2024-08-16 23:19:42.224641,The owner of the sex robot brothel plans to open the Houston location within a matter of weeks. Follow Jeff Ehling on Facebook and Twitter.,https://abc13.com/sex-robot-brothel-houston-brothels-robots-in/4350360/&ved=2ahUKEwiDvP78j8mIAxUY5MkDHd7CAf84oAEQxfQBegQIBhAC&usg=AOvVaw3umYck_mf0SkCVKnX_RNGs,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
165,Fantastic Fest review: Tenacious D hook up with a sex robot to battle Donald Trump Jr. in the demented Post-Apocalypto,Bad Feeling Magazine,1 months ago,2024-08-16 23:19:42.226310,Post-Apocalypto is basically a radio-play put over crudely drawn sketches that look like they came right out of the notebook of a horny sixth-grader.,https://badfeelingmag.com/2018/09/26/fantastic-fest-review-tenacious-d-hook-up-with-a-sex-robot-to-battle-donald-trump-jr-in-the-demented-post-apocalypto/&ved=2ahUKEwiDvP78j8mIAxUY5MkDHd7CAf84oAEQxfQBegQIBxAC&usg=AOvVaw0u5i9TiRIckj6zG4Nez9sc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
166,First US Sex Robot Brothel Will Soon Open in Texas,Interesting Engineering,1 months ago,2024-08-16 23:19:42.227951,KinkySdollS wants to open a brothel with life-like sex dolls in the US. The company markets themselves as service providers for people looking for a...,https://interestingengineering.com/culture/first-us-sex-robot-brothel-will-soon-open-in-texas&ved=2ahUKEwiDvP78j8mIAxUY5MkDHd7CAf84oAEQxfQBegQICBAC&usg=AOvVaw0W0brjYlQLQCr5o8HpVbVU,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
167,First sex robot brothel franchise set to open in the U.S.,MyStateline,1 months ago,2024-08-16 23:19:42.229601,"They are the new generation of sex dolls -- sex bots that respond to touch and include verbal responses. Next week, according to the owner of Canadian-based...",https://www.mystateline.com/news/first-sex-robot-brothel-franchise-set-to-open-in-the-u-s/&ved=2ahUKEwiDvP78j8mIAxUY5MkDHd7CAf84oAEQxfQBegQIABAC&usg=AOvVaw2WlTvs2j6n8TpZuP4AnZyE,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
168,Things to know about Houston's soon-to-open sex robot brothel,Chron,1 months ago,2024-08-16 23:19:42.231039,,https://www.chron.com/news/houston-texas/houston/article/Houston-sex-robot-brothel-open-doll-Toronto-13254668.php&ved=2ahUKEwiDvP78j8mIAxUY5MkDHd7CAf84oAEQxfQBegQIBRAC&usg=AOvVaw31S3BQOEWWgOnq9DoMTHIg,
